pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
643;1000;18;0.018
644;1000;84;0.084
645;1000;67;0.067
646;1000;84;0.084
647;1000;27;0.027
648;1000;92;0.092
649;1000;7;0.007
650;1000;0;0
651;1000;10;0.01
652;1000;84;0.084
653;1000;3;0.003
654;1000;92;0.092
655;1000;86;0.086
656;1000;73;0.073
657;1000;31;0.031
658;1000;86;0.086
659;1000;24;0.024
660;1000;34;0.034
661;1000;58;0.058
662;1000;85;0.085
663;1000;14;0.014
664;1000;82;0.082
665;1000;82;0.082
666;1000;35;0.035
667;1000;1;0.001
668;1000;62;0.062
669;1000;90;0.09
670;1000;22;0.022
671;1000;37;0.037
672;1000;75;0.075
673;1000;31;0.031
674;1000;83;0.083
675;1000;2;0.002
676;1000;79;0.079
677;1000;56;0.056
678;1000;93;0.093
679;1000;82;0.082
680;1000;82;0.082
681;1000;79;0.079
682;1000;53;0.053
683;1000;86;0.086
684;1000;43;0.043
685;1000;87;0.087
686;1000;67;0.067
687;1000;81;0.081
688;1000;61;0.061
689;1000;31;0.031
690;1000;10;0.01
691;1000;80;0.08
692;1000;45;0.045
693;1000;89;0.089
694;1000;69;0.069
695;1000;39;0.039
696;1000;48;0.048
697;1000;51;0.051
698;1000;52;0.052
699;1000;39;0.039
700;1000;9;0.009
701;1000;64;0.064
702;1000;87;0.087
703;1000;5;0.005
704;1000;86;0.086
705;1000;0;0
706;1000;25;0.025
707;1000;1;0.001
708;1000;47;0.047
709;1000;24;0.024
710;1000;29;0.029
711;1000;26;0.026
712;1000;14;0.014
713;1000;84;0.084
714;1000;17;0.017
715;1000;80;0.08
716;1000;86;0.086
717;1000;80;0.08
718;1000;33;0.033
719;1000;82;0.082
720;1000;82;0.082
721;1000;83;0.083
722;1000;62;0.062
723;1000;92;0.092
724;1000;69;0.069
725;1000;86;0.086
726;1000;7;0.007
727;1000;86;0.086
728;1000;58;0.058
729;1000;3;0.003
730;1000;72;0.072
731;1000;82;0.082
732;1000;88;0.088
733;1000;85;0.085
734;1000;63;0.063
735;1000;13;0.013
736;1000;62;0.062
737;1000;87;0.087
738;1000;85;0.085
739;1000;23;0.023
740;1000;98;0.098
741;1000;58;0.058
742;1000;11;0.011
743;1000;88;0.088
744;1000;52;0.052
745;1000;45;0.045
746;1000;91;0.091
747;1000;5;0.005
748;1000;88;0.088
749;1000;9;0.009
750;1000;79;0.079
751;1000;48;0.048
752;1000;35;0.035
753;1000;83;0.083
754;1000;26;0.026
755;1000;64;0.064
756;1000;99;0.099
757;1000;17;0.017
758;1000;26;0.026
759;1000;96;0.096
760;1000;35;0.035
761;1000;27;0.027
762;1000;13;0.013
763;1000;19;0.019
764;1000;86;0.086
765;1000;22;0.022
766;1000;7;0.007
767;1000;18;0.018
768;1000;23;0.023
769;1000;2;0.002
770;1000;28;0.028
771;1000;31;0.031
772;1000;83;0.083
773;1000;13;0.013
774;1000;88;0.088
775;1000;87;0.087
776;1000;3;0.003
777;1000;25;0.025
778;1000;66;0.066
779;1000;3;0.003
780;1000;83;0.083
781;1000;94;0.094
782;1000;57;0.057
783;1000;4;0.004
784;1000;92;0.092
785;1000;80;0.08
786;1000;61;0.061
787;1000;83;0.083
788;1000;40;0.04
789;1000;38;0.038
790;1000;82;0.082
791;1000;86;0.086
792;1000;61;0.061
793;1000;37;0.037
794;1000;77;0.077
795;1000;67;0.067
796;1000;49;0.049
797;1000;25;0.025
798;1000;3;0.003
799;1000;76;0.076
800;1000;94;0.094
801;1000;89;0.089
802;1000;81;0.081
803;1000;80;0.08
804;1000;45;0.045
805;1000;15;0.015
806;1000;16;0.016
807;1000;80;0.08
808;1000;83;0.083
809;1000;45;0.045
810;1000;17;0.017
811;1000;43;0.043
812;1000;25;0.025
813;1000;63;0.063
814;1000;83;0.083
815;1000;69;0.069
816;1000;7;0.007
817;1000;77;0.077
818;1000;33;0.033
819;1000;92;0.092
820;1000;11;0.011
821;1000;28;0.028
822;1000;13;0.013
823;1000;59;0.059
824;1000;82;0.082
825;1000;33;0.033
826;1000;82;0.082
827;1000;83;0.083
828;1000;4;0.004
829;1000;84;0.084
830;1000;84;0.084
831;1000;42;0.042
832;1000;84;0.084
833;1000;24;0.024
834;1000;9;0.009
835;1000;58;0.058
836;1000;65;0.065
837;1000;5;0.005
838;1000;18;0.018
839;1000;4;0.004
840;1000;81;0.081
841;1000;82;0.082
842;1000;82;0.082
843;1000;72;0.072
844;1000;82;0.082
845;1000;21;0.021
846;1000;81;0.081
847;1000;9;0.009
848;1000;1;0.001
849;1000;23;0.023
850;1000;81;0.081
851;1000;80;0.08
