pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
901;1000;76;0.076
902;1000;84;0.084
903;1000;58;0.058
904;1000;7;0.007
905;1000;3;0.003
906;1000;47;0.047
907;1000;16;0.016
908;1000;76;0.076
909;1000;89;0.089
910;1000;54;0.054
911;1000;77;0.077
912;1000;79;0.079
913;1000;2;0.002
914;1000;0;0
915;1000;74;0.074
916;1000;8;0.008
917;1000;56;0.056
918;1000;93;0.093
919;1000;75;0.075
920;1000;44;0.044
921;1000;77;0.077
922;1000;30;0.03
923;1000;24;0.024
924;1000;78;0.078
925;1000;74;0.074
926;1000;74;0.074
927;1000;48;0.048
928;1000;77;0.077
929;1000;74;0.074
930;1000;78;0.078
931;1000;74;0.074
932;1000;76;0.076
933;1000;71;0.071
934;1000;77;0.077
935;1000;37;0.037
936;1000;75;0.075
937;1000;77;0.077
938;1000;52;0.052
939;1000;11;0.011
940;1000;16;0.016
941;1000;78;0.078
942;1000;16;0.016
943;1000;75;0.075
944;1000;74;0.074
945;1000;26;0.026
946;1000;74;0.074
947;1000;71;0.071
948;1000;9;0.009
949;1000;14;0.014
950;1000;44;0.044
951;1000;4;0.004
952;1000;77;0.077
953;1000;10;0.01
954;1000;91;0.091
955;1000;72;0.072
956;1000;74;0.074
957;1000;70;0.07
958;1000;84;0.084
959;1000;73;0.073
960;1000;80;0.08
961;1000;74;0.074
962;1000;53;0.053
963;1000;6;0.006
964;1000;42;0.042
965;1000;19;0.019
966;1000;73;0.073
967;1000;39;0.039
968;1000;56;0.056
969;1000;46;0.046
970;1000;76;0.076
971;1000;45;0.045
972;1000;88;0.088
973;1000;73;0.073
974;1000;7;0.007
975;1000;25;0.025
976;1000;13;0.013
977;1000;18;0.018
978;1000;74;0.074
979;1000;74;0.074
980;1000;63;0.063
981;1000;52;0.052
982;1000;8;0.008
983;1000;71;0.071
984;1000;73;0.073
985;1000;13;0.013
986;1000;30;0.03
987;1000;75;0.075
988;1000;74;0.074
989;1000;85;0.085
990;1000;4;0.004
991;1000;26;0.026
992;1000;76;0.076
993;1000;35;0.035
994;1000;51;0.051
995;1000;29;0.029
996;1000;9;0.009
997;1000;78;0.078
998;1000;72;0.072
999;1000;79;0.079
