pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
800;1000;59;0.059
801;1000;45;0.045
802;1000;26;0.026
803;1000;65;0.065
804;1000;66;0.066
805;1000;94;0.094
806;1000;148;0.148
807;1000;118;0.118
808;1000;146;0.146
809;1000;137;0.137
810;1000;82;0.082
811;1000;157;0.157
812;1000;2;0.002
813;1000;61;0.061
814;1000;33;0.033
815;1000;56;0.056
816;1000;78;0.078
817;1000;127;0.127
818;1000;113;0.113
819;1000;144;0.144
820;1000;138;0.138
821;1000;153;0.153
822;1000;122;0.122
823;1000;142;0.142
824;1000;76;0.076
825;1000;14;0.014
826;1000;65;0.065
827;1000;87;0.087
828;1000;36;0.036
829;1000;67;0.067
830;1000;48;0.048
831;1000;25;0.025
832;1000;71;0.071
833;1000;68;0.068
834;1000;59;0.059
835;1000;70;0.07
836;1000;14;0.014
837;1000;38;0.038
838;1000;15;0.015
839;1000;6;0.006
840;1000;91;0.091
841;1000;156;0.156
842;1000;2;0.002
843;1000;22;0.022
844;1000;141;0.141
845;1000;96;0.096
846;1000;73;0.073
847;1000;30;0.03
848;1000;0;0
849;1000;101;0.101
850;1000;53;0.053
851;1000;152;0.152
852;1000;40;0.04
853;1000;153;0.153
854;1000;79;0.079
855;1000;114;0.114
856;1000;108;0.108
857;1000;3;0.003
858;1000;160;0.16
859;1000;150;0.15
860;1000;133;0.133
861;1000;50;0.05
862;1000;73;0.073
863;1000;96;0.096
864;1000;26;0.026
865;1000;104;0.104
866;1000;85;0.085
867;1000;80;0.08
868;1000;63;0.063
869;1000;110;0.11
870;1000;107;0.107
871;1000;96;0.096
872;1000;83;0.083
873;1000;145;0.145
874;1000;80;0.08
875;1000;111;0.111
876;1000;161;0.161
877;1000;143;0.143
878;1000;51;0.051
879;1000;46;0.046
880;1000;120;0.12
881;1000;137;0.137
882;1000;81;0.081
883;1000;52;0.052
884;1000;52;0.052
885;1000;64;0.064
886;1000;181;0.181
887;1000;68;0.068
888;1000;43;0.043
889;1000;144;0.144
890;1000;36;0.036
891;1000;98;0.098
892;1000;63;0.063
893;1000;126;0.126
894;1000;38;0.038
895;1000;72;0.072
896;1000;164;0.164
897;1000;154;0.154
898;1000;138;0.138
899;1000;40;0.04
900;1000;121;0.121
901;1000;24;0.024
902;1000;67;0.067
903;1000;149;0.149
904;1000;107;0.107
905;1000;152;0.152
906;1000;71;0.071
907;1000;124;0.124
908;1000;91;0.091
909;1000;90;0.09
910;1000;50;0.05
911;1000;73;0.073
912;1000;36;0.036
913;1000;29;0.029
914;1000;171;0.171
915;1000;61;0.061
916;1000;31;0.031
917;1000;174;0.174
918;1000;1;0.001
919;1000;60;0.06
920;1000;130;0.13
921;1000;161;0.161
922;1000;96;0.096
923;1000;123;0.123
924;1000;129;0.129
925;1000;136;0.136
926;1000;18;0.018
927;1000;138;0.138
928;1000;1;0.001
929;1000;65;0.065
930;1000;87;0.087
931;1000;128;0.128
932;1000;63;0.063
933;1000;53;0.053
934;1000;62;0.062
935;1000;113;0.113
936;1000;77;0.077
937;1000;85;0.085
938;1000;58;0.058
939;1000;49;0.049
940;1000;49;0.049
941;1000;114;0.114
942;1000;33;0.033
943;1000;56;0.056
944;1000;49;0.049
945;1000;52;0.052
946;1000;145;0.145
947;1000;110;0.11
948;1000;72;0.072
949;1000;162;0.162
950;1000;29;0.029
951;1000;38;0.038
952;1000;144;0.144
953;1000;115;0.115
954;1000;63;0.063
955;1000;65;0.065
956;1000;71;0.071
957;1000;120;0.12
958;1000;109;0.109
959;1000;36;0.036
960;1000;35;0.035
961;1000;143;0.143
962;1000;64;0.064
963;1000;38;0.038
964;1000;19;0.019
965;1000;11;0.011
966;1000;78;0.078
967;1000;139;0.139
968;1000;49;0.049
969;1000;68;0.068
970;1000;77;0.077
971;1000;181;0.181
972;1000;68;0.068
973;1000;44;0.044
974;1000;154;0.154
975;1000;32;0.032
976;1000;103;0.103
977;1000;112;0.112
